#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 03 13 33 999 99.0 99.0  0.91 12.50 10.62 274 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 14 03 999 99.0 99.0  0.83 13.33 10.22 267 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 14 33 999 99.0 99.0  0.80 12.50  9.96 278 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 15 03 999 99.0 99.0  0.86 12.50  9.81 264 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 15 33 999 99.0 99.0  0.92 13.33 10.71 266 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 16 03 999 99.0 99.0  0.75 12.50  9.68 271 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 16 33 999 99.0 99.0  0.85 12.50 10.05 274 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 17 03 999 99.0 99.0  0.82 13.33 10.17 274 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 17 33 999 99.0 99.0  0.89 13.33 10.06 268 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 18 03 999 99.0 99.0  0.78 13.33  9.68 266 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 03 18 33 999 99.0 99.0  0.76 13.33  9.07 275 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 03 19 03 999 99.0 99.0  0.79 12.50  9.63 277 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 03 19 33 999 99.0 99.0  0.79 13.33  9.42 261 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 20 03 999 99.0 99.0  0.78 11.76  9.28 274 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 20 33 999 99.0 99.0  0.77 11.76  9.04 266 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 21 03 999 99.0 99.0  0.87 13.33  9.47 254 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 21 33 999 99.0 99.0  0.82 12.50  8.81 267 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 22 03 999 99.0 99.0  0.75 13.33  8.45 266 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 22 33 999 99.0 99.0  0.77 11.76  8.61 267 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 23 03 999 99.0 99.0  0.71 12.50  8.43 264 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 03 23 33 999 99.0 99.0  0.74 12.50  8.90 264 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 04 00 03 999 99.0 99.0  0.68 11.76  8.82 273 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 04 00 33 999 99.0 99.0  0.66 12.50  8.86 254 9999.0 999.0  16.5 999.0 99.0 99.00
2014 01 04 01 03 999 99.0 99.0  0.70 13.33  8.92 254 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 01 33 999 99.0 99.0  0.75 12.50  8.67 271 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 02 03 999 99.0 99.0  0.78 12.50  8.49 273 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 02 33 999 99.0 99.0  0.75 12.50  8.45 277 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 03 03 999 99.0 99.0  0.73 11.11  8.24 271 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 03 33 999 99.0 99.0  0.73 12.50  8.34 273 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 04 03 999 99.0 99.0  0.72 12.50  8.64 264 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 04 33 999 99.0 99.0  0.74 11.11  8.36 270 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 05 03 999 99.0 99.0  0.65 12.50  8.19 271 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 05 33 999 99.0 99.0  0.79 12.50  9.00 268 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 06 03 999 99.0 99.0  0.71 10.53  8.28 271 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 06 33 999 99.0 99.0  0.70 13.33  8.26 232 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 07 03 999 99.0 99.0  0.68 11.76  8.44 275 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 07 33 999 99.0 99.0  0.73 10.53  8.82 267 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 08 03 999 99.0 99.0  0.71 12.50  8.54 266 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 08 33 999 99.0 99.0  0.76 12.50  9.01 261 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 09 03 999 99.0 99.0  0.75 12.50  9.02 257 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 09 33 999 99.0 99.0  0.68 14.29  8.98 280 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 10 03 999 99.0 99.0  0.67 11.11  8.53 277 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 10 33 999 99.0 99.0  0.75 11.76  9.21 266 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 11 03 999 99.0 99.0  0.73 11.76  9.31 268 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 11 33 999 99.0 99.0  0.71 11.11  9.09 270 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 12 03 999 99.0 99.0  0.70 12.50  9.10 261 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 12 33 999 99.0 99.0  0.69 14.29  8.93 277 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 13 03 999 99.0 99.0  0.66 11.76  9.10 274 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 13 33 999 99.0 99.0  0.67 11.11  9.10 270 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 14 03 999 99.0 99.0  0.66 14.29  9.05 267 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 14 33 999 99.0 99.0  0.68 12.50  9.26 274 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 15 03 999 99.0 99.0  0.73 11.76  9.18 267 9999.0 999.0  16.3 999.0 99.0 99.00
2014 01 04 15 33 999 99.0 99.0  0.65 11.76  9.05 268 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 16 03 999 99.0 99.0  0.69 11.76  9.22 270 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 16 33 999 99.0 99.0  0.68 12.50  9.19 254 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 17 03 999 99.0 99.0  0.69 11.76  9.54 264 9999.0 999.0  16.4 999.0 99.0 99.00
2014 01 04 17 33 999 99.0 99.0  0.78 15.38 10.13 284 9999.0 999.0  16.4 999.0 99.0 99.00
